날짜,요일,시간대,메뉴,기온,강수량,식수량,시험기간 여부
2024-11-25,Monday,점심,토마토해물파스타 (오징어:국산),,,0,아니오
2024-11-26,Tuesday,점심,추억의 도시락 (돈:외국산),,,0,아니오
2024-11-27,Wednesday,점심,갈비탕 (우:뉴질랜드산),,,0,아니오
2024-11-28,Thursday,점심,뻐없는감자탕 (돈:국산),,,0,아니오
2024-11-29,Friday,점심,우동장국,,,0,아니오
2024-12-02,Monday,점심,뼈없는감자탕 (돈:국산),,,0,아니오
2024-12-03,Tuesday,점심,지코바치킨*라면사리 (국산),,,0,아니오
2024-12-04,Wednesday,점심,순살치즈돈가스 (돈:국산),,,0,아니오
2024-12-05,Thursday,점심,김치볶음밥*후라이,,,0,아니오
2024-12-06,Friday,점심,카레라이스 (돈:국산),,,0,아니오
2024-12-09,Monday,점심,오므라이스(돈:국산+외국산),,,0,아니오
2024-12-10,Tuesday,점심,대패삼겹볶음밥(돈:국산),,,0,아니오
2024-12-11,Wednesday,점심,찬슈탄탄멘(돈:국산),,,0,아니오
2024-12-12,Thursday,점심,제육덮밥(돈:국산),,,0,아니오
2024-12-13,Friday,점심,어묵우동,,,0,아니오
2024-12-16,Monday,점심,닭갈비볶음밥 (계:국산),,,0,아니오
2024-12-17,Tuesday,점심,짜장*계란볶음밥 (돈:국산),,,0,아니오
2024-12-18,Wednesday,점심,쌀국수 (우:호주산),,,0,아니오
2024-12-19,Thursday,점심,뼈없는감자탕 (돈:국산),,,0,아니오
2024-12-20,Friday,점심,어묵국,,,0,아니오
2024-12-23,Monday,점심,등록된 식단내용이(가) 없습니다.,,,0,아니오
2024-12-24,Tuesday,점심,등록된 식단내용이(가) 없습니다.,,,0,아니오
2024-12-25,Wednesday,점심,등록된 식단내용이(가) 없습니다.,,,0,아니오
2024-12-26,Thursday,점심,등록된 식단내용이(가) 없습니다.,,,0,아니오
2024-12-27,Friday,점심,등록된 식단내용이(가) 없습니다.,,,0,아니오
2024-12-30,Monday,점심,등록된 식단내용이(가) 없습니다.,,,0,아니오
2024-12-31,Tuesday,점심,등록된 식단내용이(가) 없습니다.,,,0,아니오
2025-01-01,Wednesday,점심,등록된 식단내용이(가) 없습니다.,,,0,아니오
2025-01-02,Thursday,점심,등록된 식단내용이(가) 없습니다.,-1.0,0.0,0,아니오
2025-01-03,Friday,점심,등록된 식단내용이(가) 없습니다.,-1.6,0.0,0,아니오
2025-01-06,Monday,점심,등록된 식단내용이(가) 없습니다.,2.6,0.0,0,아니오
2025-01-07,Tuesday,점심,등록된 식단내용이(가) 없습니다.,-3.0,0.0,0,아니오
2025-01-08,Wednesday,점심,등록된 식단내용이(가) 없습니다.,-4.0,0.0,0,아니오
2025-01-09,Thursday,점심,등록된 식단내용이(가) 없습니다.,-5.7,0.0,0,아니오
2025-01-10,Friday,점심,등록된 식단내용이(가) 없습니다.,-11.9,0.0,0,아니오
2025-01-13,Monday,점심,등록된 식단내용이(가) 없습니다.,-5.2,0.0,0,아니오
2025-01-14,Tuesday,점심,등록된 식단내용이(가) 없습니다.,1.3,0.0,0,아니오
2025-01-15,Wednesday,점심,등록된 식단내용이(가) 없습니다.,-1.2,0.0,0,아니오
2025-01-16,Thursday,점심,등록된 식단내용이(가) 없습니다.,-6.1,0.0,0,아니오
2025-01-17,Friday,점심,등록된 식단내용이(가) 없습니다.,-1.2,0.0,0,아니오
2025-01-20,Monday,점심,등록된 식단내용이(가) 없습니다.,0.9,0.0,0,아니오
2025-01-21,Tuesday,점심,등록된 식단내용이(가) 없습니다.,-0.3,0.0,0,아니오
2025-01-22,Wednesday,점심,등록된 식단내용이(가) 없습니다.,-1.1,0.0,0,아니오
