Date,Type,Menu
2025.06.16( 월 ),맛난한끼(11:30~13:30),"가츠동(돈:국산)
<br/>팽이된장국
<br/>실곤약야채무침
<br/>포기김치
<br/>탄산음료"
2025.06.16( 월 ),건강한끼(11:30~13:30),"육개장 (우:호주산)
<br/>명란떡갈비 (돈:국산)
<br/>허니버터감자구이
<br/>백미밥
<br/>부추적채겉절이
<br/>깍두기"
2025.06.17( 화 ),맛난한끼(11:30~13:30),"차돌깍두기볶음밥 (우:미국산)
<br/>우동장국
<br/>새우까스
<br/>단무지
<br/>양배추샐러드"
2025.06.17( 화 ),건강한끼(11:30~13:30),"제육볶음 (돈:국산)
<br/>들기름막국수
<br/>황태해장국
<br/>서리태콩밥
<br/>아삭이고추무침
<br/>포기김치"
2025.06.18( 수 ),맛난한끼(11:30~13:30),"&lt;위시런치&gt;
<br/>영양장각삼계탕 (계:국산)
<br/>찹쌀밥
<br/>수제해물파전 (오징어:국산)
<br/>깍두기
<br/>수박화채"
2025.06.18( 수 ),건강한끼(11:30~13:30),"부대찌개 (돈:국산)
<br/>오코노미야끼 (오징어:중국산)
<br/>김자반
<br/>백미밥
<br/>시금치나물
<br/>깍두기"
2025.06.19( 목 ),맛난한끼(11:30~13:30),"어묵탕
<br/>떡볶이 (돈:국산)
<br/>모듬튀김 (돈:국산)
<br/>후리가케밥
<br/>단무지"
2025.06.19( 목 ),건강한끼(11:30~13:30),"불낙볶음 (돈:국산, 낙지:베트남산)
<br/>미역국
<br/>고기왕만두찜 (돈:국산)
<br/>백미밥
<br/>콩나물
<br/>포기김치"
2025.06.20( 금 ),맛난한끼(11:30~13:30),"마제소바 (돈:국산)
<br/>치킨까스 (계:중국산)
<br/>백미밥
<br/>유부장국
<br/>깍두기"
2025.06.20( 금 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.21( 토 ),맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.21( 토 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.22( 일 ),맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.22( 일 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.09( 월 ),맛난한끼(11:30~13:30),"오므라이스 (돈:국산)
<br/>우동장국
<br/>통통소세지 (돈:국산)
<br/>포기김치
<br/>과일젤리"
2025.06.09( 월 ),건강한끼(11:30~13:30),"짬뽕국 (오징어:국산)
<br/>언양식불고기 (돈:국산)
<br/>옹심이만두 (돈:국산)
<br/>백미밥
<br/>오이탕탕이
<br/>깍두기"
2025.06.10( 화 ),맛난한끼(11:30~13:30),"스팸김치볶음밥 (돈:국산)
<br/>우동장국
<br/>로제떡볶이 (돈:국산)
<br/>단무지
<br/>요구르트"
2025.06.10( 화 ),건강한끼(11:30~13:30),"김치사태찜 (돈:국산)
<br/>연두부*양념장
<br/>바지락수제비
<br/>백미밥
<br/>얼갈이된장무침
<br/>깍두기"
2025.06.11( 수 ),맛난한끼(11:30~13:30),"치즈닭갈비 (계:국산)
<br/>미니냉모밀
<br/>고구마고로케
<br/>양배추샐러드
<br/>깍두기"
2025.06.11( 수 ),건강한끼(11:30~13:30),"순두부찌개
<br/>떡갈비 (돈:국산)
<br/>멸치마늘쫑볶음
<br/>백미밥
<br/>콩나물무침
<br/>포기김치"
2025.06.12( 목 ),맛난한끼(11:30~13:30),"캠핑모듬구이/계란찜 (돈:국산)
<br/>맑은콩나물국
<br/>밥소량
<br/>청상추/쌈장
<br/>볶음김치"
2025.06.12( 목 ),건강한끼(11:30~13:30),"돼지김치짜글이 (돈:국산)
<br/>계란후라이*햄구이(돈:국산)
<br/>시금치나물
<br/>백미밥
<br/>도시락김
<br/>깍두기"
2025.06.13( 금 ),맛난한끼(11:30~13:30),"설렁탕 (우:호주산)
<br/>임꺽정떡갈비 (돈/우/계:국산)
<br/>백미밥
<br/>부추무침
<br/>깍두기"
2025.06.13( 금 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.14( 토 ),맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.14( 토 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.15( 일 ),맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.15( 일 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.02( 월 ),맛난한끼(11:30~13:30),"숯불닭갈비*날치알밥 (계:국산)
<br/>가쓰오장국
<br/>허니버터감자구이
<br/>양배추케요네즈
<br/>깍두기"
2025.06.02( 월 ),건강한끼(11:30~13:30),"육개장 (우:호주산)
<br/>치킨까스 (계:국산)
<br/>백미밥
<br/>꽈리메알장조림
<br/>그래놀라샐러드
<br/>포기김치"
2025.06.03( 화 ),맛난한끼(11:30~13:30),미운영
2025.06.03( 화 ),건강한끼(11:30~13:30),미운영
2025.06.04( 수 ),맛난한끼(11:30~13:30),"마라탕 (돈:국산)
<br/>백미밥
<br/>탕수육 (돈:국산)
<br/>단무지
<br/>얼린 요구르트"
2025.06.04( 수 ),건강한끼(11:30~13:30),"묵은지찜닭 (계:국산)
<br/>콩나물국
<br/>백미밥
<br/>어묵볶음
<br/>열무된장나물
<br/>깍두기"
2025.06.05( 목 ),맛난한끼(11:30~13:30),"제육덮밥 (돈:국산)
<br/>유부된장국
<br/>핫도그 (돈:국산)
<br/>포기김치
<br/>감귤젤리"
2025.06.05( 목 ),건강한끼(11:30~13:30),"뼈없는감자탕 (돈:국산)
<br/>녹두전
<br/>백미밥
<br/>호박새우살볶음
<br/>양파장아찌
<br/>깍두기"
2025.06.06( 금 ),맛난한끼(11:30~13:30),미운영
2025.06.06( 금 ),건강한끼(11:30~13:30),미운영
