지점,지점명,일시,평균기온(°C),일강수량(mm)
119,수원,2025-03-16,4.7,0
119,수원,2025-03-17,2.6,0
119,수원,2025-03-18,2,4
119,수원,2025-03-19,1.7,
119,수원,2025-03-20,7.1,
119,수원,2025-03-21,10.4,
119,수원,2025-03-22,12,
119,수원,2025-03-23,13.8,
119,수원,2025-03-24,14,0
119,수원,2025-03-25,12.3,
119,수원,2025-03-26,14.7,
119,수원,2025-03-27,13.2,.2
119,수원,2025-03-28,6.6,
119,수원,2025-03-29,2.3,2.7
119,수원,2025-03-30,3.3,0
119,수원,2025-03-31,7.2,0
119,수원,2025-04-01,8.5,
119,수원,2025-04-02,7.8,
119,수원,2025-04-03,8.3,
119,수원,2025-04-04,9.1,
119,수원,2025-04-05,8.1,20.4
119,수원,2025-04-06,9.4,
119,수원,2025-04-07,12.4,
119,수원,2025-04-08,12.4,
119,수원,2025-04-09,11.6,.2
119,수원,2025-04-10,11.9,0
119,수원,2025-04-11,13.9,
119,수원,2025-04-12,11.5,14.6
119,수원,2025-04-13,5.6,4.3
119,수원,2025-04-14,4.5,5.7
119,수원,2025-04-15,7.3,
119,수원,2025-04-16,13.8,
119,수원,2025-04-17,19.3,0
119,수원,2025-04-18,16.8,
119,수원,2025-04-19,15.7,3.3
119,수원,2025-04-20,15.7,
119,수원,2025-04-21,19.3,
119,수원,2025-04-22,17.3,16.4
119,수원,2025-04-23,15.7,
119,수원,2025-04-24,13,
119,수원,2025-04-25,11.2,
119,수원,2025-04-26,13,
119,수원,2025-04-27,14.8,
119,수원,2025-04-28,13.5,
119,수원,2025-04-29,13.1,
119,수원,2025-04-30,17.2,
119,수원,2025-05-01,13.1,20.5
119,수원,2025-05-02,12.3,0
119,수원,2025-05-03,9.9,11.8
119,수원,2025-05-04,12.5,
119,수원,2025-05-05,12,0
119,수원,2025-05-06,12.8,
119,수원,2025-05-07,13.2,
119,수원,2025-05-08,15.9,
119,수원,2025-05-09,15.2,8
119,수원,2025-05-10,11.9,3.4
119,수원,2025-05-11,14.1,
119,수원,2025-05-12,16,
119,수원,2025-05-13,18.6,
119,수원,2025-05-14,19.8,
119,수원,2025-05-15,18.9,.2
119,수원,2025-05-16,19.8,20.9
119,수원,2025-05-17,18,3.8
119,수원,2025-05-18,15.2,
119,수원,2025-05-19,16.1,0
119,수원,2025-05-20,22.9,
119,수원,2025-05-21,24,
119,수원,2025-05-22,21.4,.3
119,수원,2025-05-23,19.2,1.7
119,수원,2025-05-24,14.7,3.7
119,수원,2025-05-25,15.8,
119,수원,2025-05-26,18,
119,수원,2025-05-27,18.7,
119,수원,2025-05-28,19.5,
119,수원,2025-05-29,19.5,
119,수원,2025-05-30,19.9,
119,수원,2025-05-31,19.4,
119,수원,2025-06-01,20.3,
119,수원,2025-06-02,19.4,0
119,수원,2025-06-03,19.3,
119,수원,2025-06-04,18.8,
119,수원,2025-06-05,20.3,
119,수원,2025-06-06,23,
119,수원,2025-06-07,22.7,
119,수원,2025-06-08,23.9,.3
119,수원,2025-06-09,23,0
119,수원,2025-06-10,19.9,
119,수원,2025-06-11,20.9,
119,수원,2025-06-12,23.4,
119,수원,2025-06-13,22,4.5
119,수원,2025-06-14,23.5,.1
119,수원,2025-06-15,24.8,3.4
119,수원,2025-06-16,22.8,11.9
