Date,Meal Type,Menu Items,StationID,StationName,AveTemp,Precipitation,Rain
2025-06-16,건강한끼(11:30~13:30),육개장 (우:호주산)명란떡갈비 (돈:국산)허니버터감자구이백미밥부추적채겉절이깍두기,119.0,수원,22.8,11.9,1.0
2025-06-17,건강한끼(11:30~13:30),제육볶음 (돈:국산)들기름막국수황태해장국서리태콩밥아삭이고추무침포기김치,,,,,
2025-06-18,건강한끼(11:30~13:30),부대찌개 (돈:국산)오코노미야끼 (오징어:중국산)김자반백미밥시금치나물깍두기,,,,,
2025-06-19,건강한끼(11:30~13:30),"불낙볶음 (돈:국산, 낙지:베트남산)미역국고기왕만두찜 (돈:국산)백미밥콩나물포기김치",,,,,
2025-06-20,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,,,,,
2025-06-21,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,,,,,
2025-06-22,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,,,,,
2025-06-09,건강한끼(11:30~13:30),짬뽕국 (오징어:국산)언양식불고기 (돈:국산)옹심이만두 (돈:국산)백미밥오이탕탕이깍두기,119.0,수원,23.0,0.0,0.0
2025-06-10,건강한끼(11:30~13:30),김치사태찜 (돈:국산)연두부*양념장바지락수제비백미밥얼갈이된장무침깍두기,119.0,수원,19.9,0.0,0.0
2025-06-11,건강한끼(11:30~13:30),순두부찌개떡갈비 (돈:국산)멸치마늘쫑볶음백미밥콩나물무침포기김치,119.0,수원,20.9,0.0,0.0
2025-06-12,건강한끼(11:30~13:30),돼지김치짜글이 (돈:국산)계란후라이*햄구이(돈:국산)시금치나물백미밥도시락김깍두기,119.0,수원,23.4,0.0,0.0
2025-06-13,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,22.0,4.5,1.0
2025-06-14,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,23.5,0.1,1.0
2025-06-15,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,24.8,3.4,1.0
2025-06-02,건강한끼(11:30~13:30),육개장 (우:호주산)치킨까스 (계:국산)백미밥꽈리메알장조림그래놀라샐러드포기김치,119.0,수원,19.4,0.0,0.0
2025-06-03,건강한끼(11:30~13:30),미운영,119.0,수원,19.3,0.0,0.0
2025-06-04,건강한끼(11:30~13:30),묵은지찜닭 (계:국산)콩나물국백미밥어묵볶음열무된장나물깍두기,119.0,수원,18.8,0.0,0.0
