Date,Meal Type,Menu Items,StationID,StationName,AveTemp,Precipitation,Rain
2025-06-16,맛난한끼(11:30~13:30),가츠동(돈:국산)팽이된장국실곤약야채무침포기김치탄산음료,119.0,수원,22.8,11.9,1.0
2025-06-17,맛난한끼(11:30~13:30),차돌깍두기볶음밥 (우:미국산)우동장국새우까스단무지양배추샐러드,,,,,
2025-06-18,맛난한끼(11:30~13:30),<위시런치>영양장각삼계탕 (계:국산)찹쌀밥수제해물파전 (오징어:국산)깍두기수박화채,,,,,
2025-06-19,맛난한끼(11:30~13:30),어묵탕떡볶이 (돈:국산)모듬튀김 (돈:국산)후리가케밥단무지,,,,,
2025-06-20,맛난한끼(11:30~13:30),마제소바 (돈:국산)치킨까스 (계:중국산)백미밥유부장국깍두기,,,,,
2025-06-21,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,,,,,
2025-06-22,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,,,,,
2025-06-09,맛난한끼(11:30~13:30),오므라이스 (돈:국산)우동장국통통소세지 (돈:국산)포기김치과일젤리,119.0,수원,23.0,0.0,0.0
2025-06-10,맛난한끼(11:30~13:30),스팸김치볶음밥 (돈:국산)우동장국로제떡볶이 (돈:국산)단무지요구르트,119.0,수원,19.9,0.0,0.0
2025-06-11,맛난한끼(11:30~13:30),치즈닭갈비 (계:국산)미니냉모밀고구마고로케양배추샐러드깍두기,119.0,수원,20.9,0.0,0.0
2025-06-12,맛난한끼(11:30~13:30),캠핑모듬구이/계란찜 (돈:국산)맑은콩나물국밥소량청상추/쌈장볶음김치,119.0,수원,23.4,0.0,0.0
2025-06-13,맛난한끼(11:30~13:30),설렁탕 (우:호주산)임꺽정떡갈비 (돈/우/계:국산)백미밥부추무침깍두기,119.0,수원,22.0,4.5,1.0
2025-06-14,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,23.5,0.1,1.0
2025-06-15,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,24.8,3.4,1.0
2025-06-02,맛난한끼(11:30~13:30),숯불닭갈비*날치알밥 (계:국산)가쓰오장국허니버터감자구이양배추케요네즈깍두기,119.0,수원,19.4,0.0,0.0
2025-06-03,맛난한끼(11:30~13:30),미운영,119.0,수원,19.3,0.0,0.0
2025-06-04,맛난한끼(11:30~13:30),마라탕 (돈:국산)백미밥탕수육 (돈:국산)단무지얼린 요구르트,119.0,수원,18.8,0.0,0.0
2025-06-05,맛난한끼(11:30~13:30),제육덮밥 (돈:국산)유부된장국핫도그 (돈:국산)포기김치감귤젤리,119.0,수원,20.3,0.0,0.0
2025-06-06,맛난한끼(11:30~13:30),미운영,119.0,수원,23.0,0.0,0.0
2025-06-07,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,22.7,0.0,0.0
2025-06-08,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,23.9,0.3,1.0
2025-05-26,맛난한끼(11:30~13:30),새우계란볶음밥매콤떡볶이부추순대찜 (돈:국산)우동장국단무지,119.0,수원,18.0,0.0,0.0
2025-05-27,맛난한끼(11:30~13:30),비빔국수 (돈:국산)바싹불고기 (돈:국산)메밀전병백미밥포기김치,119.0,수원,18.7,0.0,0.0
2025-05-28,맛난한끼(11:30~13:30),토마토스파게티 (돈:국산)크림스프폭찹스테이크 (돈:국산)모듬피클마늘바게트,119.0,수원,19.5,0.0,0.0
2025-05-29,맛난한끼(11:30~13:30),소고기 규동 (우:호주산)고구마튀김가쓰오장국망고푸딩포기김치,119.0,수원,19.5,0.0,0.0
2025-05-30,맛난한끼(11:30~13:30),차돌쌀국수 (우:호주산)나시고랭볶음밥짜조깍두기요구르트,119.0,수원,19.9,0.0,0.0
2025-05-31,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,19.4,0.0,0.0
2025-06-01,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,20.3,0.0,0.0
2025-05-19,맛난한끼(11:30~13:30),오므라이스 (돈:국산)가쓰오장국소떡소떡강정 (돈:국산)깍두기양배추샐러드,119.0,수원,16.1,0.0,0.0
2025-05-20,맛난한끼(11:30~13:30),지코바치밥 (계:국산)얼갈이된장국새우튀김깍두기오렌지,119.0,수원,22.9,0.0,0.0
2025-05-21,맛난한끼(11:30~13:30),캐나다식비프덮밥  (호주산)푸틴수제모듬피클무알콜 얼그레이하이볼메이플토스트,119.0,수원,24.0,0.0,0.0
2025-05-22,맛난한끼(11:30~13:30),돼지국밥 (돈:국산)수제옥수수김치전백미밥양파초절임깍두기,119.0,수원,21.4,0.3,1.0
2025-05-23,맛난한끼(11:30~13:30),옛날장각통닭 (계:국산)김치볶음밥 (돈:국산)사각어묵국양배추샐러드깍두기,119.0,수원,19.2,1.7,1.0
2025-05-24,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,14.7,3.7,1.0
2025-05-25,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,15.8,0.0,0.0
2025-05-12,맛난한끼(11:30~13:30),닭갈비덮밥 (계:국산)우동장국고구마고로케깍두기떠먹는요거트,119.0,수원,16.0,0.0,0.0
2025-05-13,맛난한끼(11:30~13:30),냉모밀순살돈까스 (돈:국산)백미밥양배추샐러드깍두기,119.0,수원,18.6,0.0,0.0
2025-05-14,맛난한끼(11:30~13:30),제육덮밥 (돈:국산)팽이버섯된장국한입핫도그 (돈:국산)포기김치요구르트,119.0,수원,19.8,0.0,0.0
2025-05-15,맛난한끼(11:30~13:30),간짜장 (돈:국산)짬뽕국 (오징어:국산)맛동산탕수육 (돈:국산)단무지깍두기,119.0,수원,18.9,0.2,1.0
2025-05-16,맛난한끼(11:30~13:30),봄나물비빔밥오징어핫바 (중국산)유부된장국짜요짜요깍두기,119.0,수원,19.8,20.9,1.0
2025-05-17,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,18.0,3.8,1.0
2025-05-18,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,15.2,0.0,0.0
2025-05-05,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,12.0,0.0,0.0
2025-05-06,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,12.8,0.0,0.0
2025-05-07,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,13.2,0.0,0.0
2025-05-08,맛난한끼(11:30~13:30),봉골레파스타함박스테이크 (돈/우/계:국산)백미밥김치국수제모듬피클,119.0,수원,15.9,0.0,0.0
2025-05-09,맛난한끼(11:30~13:30),갈비탕 (우:미국산)동그랑땡전 (돈:국산)백미밥아삭이고추쌈장무침깍두기,119.0,수원,15.2,8.0,1.0
2025-05-10,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,11.9,3.4,1.0
2025-05-11,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,14.1,0.0,0.0
2025-04-28,맛난한끼(11:30~13:30),스팸김치볶음밥 (돈:국산)유부장국로제떡볶이  (돈:국산)깍두기짜요짜요,119.0,수원,13.5,0.0,0.0
2025-04-29,맛난한끼(11:30~13:30),차슈덮밥 (돈:국산)가쓰오장국냉우동깍두기한라봉샐러드,119.0,수원,13.1,0.0,0.0
2025-04-30,맛난한끼(11:30~13:30),물냉면바싹불고기 (돈:국산)백미밥열무김치교자만두찜 (돈:국산),119.0,수원,17.2,0.0,0.0
2025-05-01,맛난한끼(11:30~13:30),안성장터국밥 (우:호주산)백미밥녹두전양파초절임깍두기,119.0,수원,13.1,20.5,1.0
2025-05-02,맛난한끼(11:30~13:30),군대리아 (돈:외국산)감자튀김건프라이크*우유크림스프수제모듬피클,119.0,수원,12.3,0.0,0.0
2025-05-03,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,9.9,11.8,1.0
2025-05-04,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,12.5,0.0,0.0
2025-04-21,맛난한끼(11:30~13:30),비프카레라이스 (호주산)치킨가라아게 (국산)백미밥단무지포기김치,119.0,수원,19.3,0.0,0.0
2025-04-22,맛난한끼(11:30~13:30),짜장밥 (돈:국산)해물짬뽕국 (오징어:국산)레몬크림새우포기김치알새우칩,119.0,수원,17.3,16.4,1.0
2025-04-23,맛난한끼(11:30~13:30),누들떡볶이 (돈:국산)모듬튀김 (돈:국산)어묵국후리가케밥단무지오곡초코바,119.0,수원,15.7,0.0,0.0
2025-04-24,맛난한끼(11:30~13:30),가츠동덮밥 (돈:국산)야채쫄면미소장국수제피클전남친토스트,119.0,수원,13.0,0.0,0.0
2025-04-25,맛난한끼(11:30~13:30),피자 (돈:국산)오븐스파게티 (돈:국산)수제피클깍두기체리콕,119.0,수원,11.2,0.0,0.0
2025-04-26,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,13.0,0.0,0.0
2025-04-27,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,14.8,0.0,0.0
2025-04-14,맛난한끼(11:30~13:30),스팸마요덮밥 (돈:외국산)미역국팝콘치킨 (계:국산)그린샐러드포기김치개교기념일 기념! 롤케이크,119.0,수원,4.5,5.7,1.0
2025-04-15,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,7.3,0.0,0.0
2025-04-16,맛난한끼(11:30~13:30),미니소바고구마돈까스 (돈:국산)백미밥양배추샐러드깍두기,119.0,수원,13.8,0.0,0.0
2025-04-17,맛난한끼(11:30~13:30),장터국밥 (우:뉴질랜드산)메밀전병백미밥양파초절임석박지,119.0,수원,19.3,0.0,0.0
2025-04-18,맛난한끼(11:30~13:30),양지쌀국수 (우:호주산)나시고랭볶음밥고구마롤망고요거트포기김치,119.0,수원,16.8,0.0,0.0
2025-04-19,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,15.7,3.3,1.0
2025-04-20,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,15.7,0.0,0.0
2025-04-07,맛난한끼(11:30~13:30),김치볶음밥(돈:국산)등심돈까스(돈:국산)우동장국깍두기초코슈,119.0,수원,12.4,0.0,0.0
2025-04-08,맛난한끼(11:30~13:30),마파두부덮밥 (돈:국산)계란파국유린기 (계:국산)깍두기요구르트,119.0,수원,12.4,0.0,0.0
2025-04-09,맛난한끼(11:30~13:30),해물빠에야 (오징어:원양산)토마토스튜장각닭구이 (계:국산)수제모듬피클샹그리아,119.0,수원,11.6,0.2,1.0
2025-04-10,맛난한끼(11:30~13:30),불닭덮밥 (계:국산)미역국고구마고로케한라봉샐러드깍두기,119.0,수원,11.9,0.0,0.0
2025-04-11,맛난한끼(11:30~13:30),마제소바 (돈:국산)새우까스*타르후리가케밥유부장국깍두기,119.0,수원,13.9,0.0,0.0
2025-04-12,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,11.5,14.6,1.0
2025-04-13,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,5.6,4.3,1.0
2025-03-31,맛난한끼(11:30~13:30),마살라치킨커리 (계:국산)새우튀김팽이장국백미밥포기김치,119.0,수원,7.2,0.0,0.0
2025-04-01,맛난한끼(11:30~13:30),치즈돈까스 (돈:국산)크림스트양배추샐러드깍두기모닝빵*딸기잼,119.0,수원,8.5,0.0,0.0
2025-04-02,맛난한끼(11:30~13:30),마라탕 (우:호주산)꿔바로우 (돈:국산)백미밥단무지아이스티,119.0,수원,7.8,0.0,0.0
2025-04-03,맛난한끼(11:30~13:30),"오므라이스(돈:국산,외국산)핫도그 (계.돈:국산)팽이장국깍두기오렌지",119.0,수원,8.3,0.0,0.0
2025-04-04,맛난한끼(11:30~13:30),"전주비빔밥 (우:호주산)어떡햄어떡햄 (돈,계:국산)감자된장국열무김치요구르",119.0,수원,9.1,0.0,0.0
2025-04-05,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,8.1,20.4,1.0
2025-04-06,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,9.4,0.0,0.0
2025-03-24,맛난한끼(11:30~13:30),"미트볼스파게티 (돈:국산)미소장국, 밥소량피쉬앤칩스수제피클모닝빵*딸기잼",119.0,수원,14.0,0.0,0.0
2025-03-25,맛난한끼(11:30~13:30),짬뽕국 (오징어:국산)짜장밥 (돈:국산)탕수육 (돈/계:국산)요구르트포기김치,119.0,수원,12.3,0.0,0.0
2025-03-26,맛난한끼(11:30~13:30),일본식규동 (우:호주산)김피탕 (돈/계:국산)미소장국단무지깍두기,119.0,수원,14.7,0.0,0.0
2025-03-27,맛난한끼(11:30~13:30),불닭덮밥 (계:국산)유부장국고구마고로케짜요짜요깍두기,119.0,수원,13.2,0.2,1.0
2025-03-28,맛난한끼(11:30~13:30),나주곰탕 (우:뉴질랜드산)메밀전병양파장아찌백미밥석박지,119.0,수원,6.6,0.0,0.0
2025-03-29,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,2.3,2.7,1.0
2025-03-30,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,3.3,0.0,0.0
2025-03-17,맛난한끼(11:30~13:30),스팸마요덮밥 (돈:국산)우동장국오징어핫바시리얼샐러드단무지,119.0,수원,2.6,0.0,0.0
2025-03-18,맛난한끼(11:30~13:30),등심돈가스 (돈:국산)쫄면스프백미밥깍두기,119.0,수원,2.0,4.0,1.0
2025-03-19,맛난한끼(11:30~13:30),<위시런치>우육면 (우:호주산)달걀토마토볶음밥딤섬 (국산)밀크티,119.0,수원,1.7,0.0,0.0
2025-03-20,맛난한끼(11:30~13:30),날치알김치볶음밥우동장국새우까스열대과일샐러드깍두기,119.0,수원,7.1,0.0,0.0
2025-03-21,맛난한끼(11:30~13:30),길거리토스트 (돈:국산)미니우동주먹밥오징어까스 (중국산)깍두기,119.0,수원,10.4,0.0,0.0
2025-03-22,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,12.0,0.0,0.0
2025-03-23,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,13.8,0.0,0.0
2025-03-10,맛난한끼(11:30~13:30),제육덮밥 (돈:국산)우동장국소떡소떡 (돈/계:국산)깍두기쿨피스,,,,,
2025-03-11,맛난한끼(11:30~13:30),크림카레우동 (우:호주산)가라아게 (계:국산)백미밥미소장국깍두기,,,,,
2025-03-12,맛난한끼(11:30~13:30),치즈옹심이떡볶이 (돈:국산)부추순대찜 (돈:국산)야채튀김백미밥단무지어묵탕,,,,,
2025-03-13,맛난한끼(11:30~13:30),캠핑모듬구이 (돈:독일산+국산)근대된장국쌈채소백미밥볶음김치,,,,,
2025-03-14,맛난한끼(11:30~13:30),돼지국밥*소면 (돈:국산)수제김치전백미밥고추쌈장무침깍두기,,,,,
2025-03-15,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,,,,,
2025-03-16,맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,4.7,0.0,0.0
